1,0,1,0,0,0,0,-12
1,0,2,0,0,0,0,-23
2,0,3,0,0,0,0,-16
2,0,4,0,0,0,0,-15
3,0,5,0,0,0,0,-15
3,0,6,0,0,0,0,-19
4,0,7,0,0,0,0,-9
4,0,8,0,0,0,0,-12
5,0,9,0,0,0,0,-18
5,0,10,0,0,0,0,-19
6,0,11,0,0,0,0,-16
6,0,12,0,0,0,0,-11
7,0,13,0,0,0,0,-14
7,0,14,0,0,0,0,-14
8,0,15,0,0,0,0,-14
8,0,16,0,0,0,0,-19
1,1,1,0,0,0,0,86
2,1,2,0,0,0,0,507
2,1,3,0,0,0,0,76
3,1,4,0,0,0,0,-17
3,1,5,0,0,0,0,-21
4,1,6,0,0,0,0,-17
4,1,7,0,0,0,0,-14
5,1,8,0,0,0,0,-10
5,1,9,0,0,0,0,-13
6,1,10,0,0,0,0,-18
6,1,11,0,0,0,0,-19
7,1,12,0,0,0,0,-20
7,1,13,0,0,0,0,-12
8,1,14,0,0,0,0,-8
8,1,15,0,0,0,0,-15
2,2,1,0,0,0,0,83
2,2,2,0,0,0,0,204
3,2,3,0,0,0,0,92
3,2,4,0,0,0,0,-17
4,2,5,0,0,0,0,-9
4,2,6,0,0,0,0,-10
5,2,7,0,0,0,0,-13
5,2,8,0,0,0,0,-9
6,2,9,0,0,0,0,-17
6,2,10,0,0,0,0,-21
7,2,11,0,0,0,0,-20
7,2,12,0,0,0,0,-12
8,2,13,0,0,0,0,-18
8,2,14,0,0,0,0,-10
2,3,1,0,0,0,0,268
3,3,2,0,0,0,0,85
3,3,3,0,0,0,0,266
4,3,4,0,0,0,0,-5
4,3,5,0,0,0,0,-12
5,3,6,0,0,0,0,-17
5,3,7,0,0,0,0,-9
6,3,8,0,0,0,0,-17
6,3,9,0,0,0,0,-10
7,3,10,0,0,0,0,-15
7,3,11,0,0,0,0,-17
8,3,12,0,0,0,0,-18
8,3,13,0,0,0,0,-13
3,4,1,0,0,0,0,172
3,4,2,0,0,0,0,165
4,4,3,0,0,0,0,-23
4,4,4,0,0,0,0,-14
5,4,5,0,0,0,0,81
5,4,6,0,0,0,0,-9
6,4,7,0,0,0,0,-13
6,4,8,0,0,0,0,-7
7,4,9,0,0,0,0,-13
7,4,10,0,0,0,0,-10
8,4,11,0,0,0,0,-17
8,4,12,0,0,0,0,-17
3,5,1,0,0,0,0,178
4,5,2,0,0,0,0,-16
4,5,3,0,0,0,0,65
5,5,4,0,0,0,0,33
5,5,5,0,0,0,0,-21
6,5,6,0,0,0,0,-17
6,5,7,0,0,0,0,-8
7,5,8,0,0,0,0,-13
7,5,9,0,0,0,0,-22
8,5,10,0,0,0,0,-16
8,5,11,0,0,0,0,-14
4,6,1,0,0,0,0,124
4,6,2,0,0,0,0,-14
5,6,3,0,0,0,0,-14
5,6,4,0,0,0,0,-17
6,6,5,0,0,0,0,-18
6,6,6,0,0,0,0,-19
7,6,7,0,0,0,0,-18
7,6,8,0,0,0,0,-13
8,6,9,0,0,0,0,-10
8,6,10,0,0,0,0,-14
4,7,1,0,0,0,0,80
5,7,2,0,0,0,0,-4
5,7,3,0,0,0,0,-14
6,7,4,0,0,0,0,-16
6,7,5,0,0,0,0,-13
7,7,6,0,0,0,0,-18
7,7,7,0,0,0,0,-30
8,7,8,0,0,0,0,-13
8,7,9,0,0,0,0,-17
5,8,1,0,0,0,0,-13
5,8,2,0,0,0,0,-12
6,8,3,0,0,0,0,-24
6,8,4,0,0,0,0,-21
7,8,5,0,0,0,0,-17
7,8,6,0,0,0,0,13
8,8,7,0,0,0,0,-9
